team,week,win,points_scored,points_given_up
CHI,1,0.0,3.0,10.0
GB,1,1.0,10.0,3.0
CLE,1,0.0,13.0,43.0
TEN,1,1.0,43.0,13.0
CAR,1,0.0,27.0,30.0
LA,1,1.0,30.0,27.0
PHI,1,1.0,32.0,27.0
WAS,1,0.0,27.0,32.0
NYJ,1,0.0,16.0,17.0
BUF,1,1.0,17.0,16.0
MIN,1,1.0,28.0,12.0
ATL,1,0.0,12.0,28.0
MIA,1,0.0,10.0,59.0
BAL,1,1.0,59.0,10.0
JAX,1,0.0,26.0,40.0
KC,1,1.0,40.0,26.0
SEA,1,1.0,21.0,20.0
CIN,1,0.0,20.0,21.0
LAC,1,1.0,30.0,24.0
IND,1,0.0,24.0,30.0
TB,1,0.0,17.0,31.0
SF,1,1.0,31.0,17.0
DAL,1,1.0,35.0,17.0
NYG,1,0.0,17.0,35.0
NE,1,1.0,33.0,3.0
PIT,1,0.0,3.0,33.0
NO,1,1.0,30.0,28.0
HOU,1,0.0,28.0,30.0
OAK,1,1.0,24.0,16.0
DEN,1,0.0,16.0,24.0
CAR,2,0.0,14.0,20.0
TB,2,1.0,20.0,14.0
CIN,2,0.0,17.0,41.0
SF,2,1.0,41.0,17.0
WAS,2,0.0,21.0,31.0
DAL,2,1.0,31.0,21.0
BAL,2,1.0,23.0,17.0
ARI,2,0.0,17.0,23.0
PIT,2,0.0,26.0,28.0
SEA,2,1.0,28.0,26.0
TEN,2,0.0,17.0,19.0
IND,2,1.0,19.0,17.0
NYG,2,0.0,14.0,28.0
BUF,2,1.0,28.0,14.0
MIA,2,0.0,0.0,43.0
NE,2,1.0,43.0,0.0
HOU,2,1.0,13.0,12.0
JAX,2,0.0,12.0,13.0
GB,2,1.0,21.0,16.0
MIN,2,0.0,16.0,21.0
DET,2,1.0,13.0,10.0
LAC,2,0.0,10.0,13.0
OAK,2,0.0,10.0,28.0
KC,2,1.0,28.0,10.0
LA,2,1.0,27.0,9.0
NO,2,0.0,9.0,27.0
DEN,2,0.0,14.0,16.0
CHI,2,1.0,16.0,14.0
ATL,2,1.0,24.0,20.0
PHI,2,0.0,20.0,24.0
NYJ,2,0.0,3.0,23.0
CLE,2,1.0,23.0,3.0
JAX,3,1.0,20.0,7.0
TEN,3,0.0,7.0,20.0
BUF,3,1.0,21.0,17.0
CIN,3,0.0,17.0,21.0
PHI,3,0.0,24.0,27.0
DET,3,1.0,27.0,24.0
NE,3,1.0,30.0,14.0
NYJ,3,0.0,14.0,30.0
MIN,3,1.0,34.0,14.0
OAK,3,0.0,14.0,34.0
KC,3,1.0,33.0,28.0
BAL,3,0.0,28.0,33.0
GB,3,1.0,27.0,16.0
DEN,3,0.0,16.0,27.0
DAL,3,1.0,31.0,6.0
MIA,3,0.0,6.0,31.0
IND,3,1.0,27.0,24.0
ATL,3,0.0,24.0,27.0
TB,3,0.0,31.0,32.0
NYG,3,1.0,32.0,31.0
ARI,3,0.0,20.0,38.0
CAR,3,1.0,38.0,20.0
SF,3,1.0,24.0,20.0
PIT,3,0.0,20.0,24.0
SEA,3,0.0,27.0,33.0
NO,3,1.0,33.0,27.0
LAC,3,0.0,20.0,27.0
HOU,3,1.0,27.0,20.0
CLE,3,0.0,13.0,20.0
LA,3,1.0,20.0,13.0
WAS,3,0.0,15.0,31.0
CHI,3,1.0,31.0,15.0
GB,4,0.0,27.0,34.0
PHI,4,1.0,34.0,27.0
BUF,4,0.0,10.0,16.0
NE,4,1.0,16.0,10.0
ATL,4,0.0,10.0,24.0
TEN,4,1.0,24.0,10.0
BAL,4,0.0,25.0,40.0
CLE,4,1.0,40.0,25.0
NYG,4,1.0,24.0,3.0
WAS,4,0.0,3.0,24.0
MIA,4,0.0,10.0,30.0
LAC,4,1.0,30.0,10.0
HOU,4,0.0,10.0,16.0
CAR,4,1.0,16.0,10.0
DET,4,0.0,30.0,34.0
KC,4,1.0,34.0,30.0
IND,4,0.0,24.0,31.0
OAK,4,1.0,31.0,24.0
LA,4,0.0,40.0,55.0
TB,4,1.0,55.0,40.0
ARI,4,0.0,10.0,27.0
SEA,4,1.0,27.0,10.0
DEN,4,0.0,24.0,26.0
JAX,4,1.0,26.0,24.0
CHI,4,1.0,16.0,6.0
MIN,4,0.0,6.0,16.0
NO,4,1.0,12.0,10.0
DAL,4,0.0,10.0,12.0
PIT,4,1.0,27.0,3.0
CIN,4,0.0,3.0,27.0
SEA,5,1.0,30.0,29.0
LA,5,0.0,29.0,30.0
CIN,5,0.0,23.0,26.0
ARI,5,1.0,26.0,23.0
CAR,5,1.0,34.0,27.0
JAX,5,0.0,27.0,34.0
WAS,5,0.0,7.0,33.0
NE,5,1.0,33.0,7.0
OAK,5,1.0,24.0,21.0
CHI,5,0.0,21.0,24.0
PIT,5,0.0,23.0,26.0
BAL,5,1.0,26.0,23.0
PHI,5,1.0,31.0,6.0
NYJ,5,0.0,6.0,31.0
TEN,5,0.0,7.0,14.0
BUF,5,1.0,14.0,7.0
NYG,5,0.0,10.0,28.0
MIN,5,1.0,28.0,10.0
NO,5,1.0,31.0,24.0
TB,5,0.0,24.0,31.0
HOU,5,1.0,53.0,32.0
ATL,5,0.0,32.0,53.0
